1. Video: Video D, Timestamp: 2024-12-02 10:16:13, LamaTayang: 7.1 s
2. Video: Video C, Timestamp: 2024-12-02 10:16:14, LamaTayang: 1.5 s
3. Video: Video A, Timestamp: 2024-12-02 10:16:15, LamaTayang: 1.5 s
4. Video: Video C, Timestamp: 2024-12-02 10:16:15, LamaTayang: 0.0 s
5. Video: Video C, Timestamp: 2024-12-02 10:16:16, LamaTayang: 0.1 s
6. Video: Video A, Timestamp: 2024-12-02 10:16:18, LamaTayang: 0.4 s
7. Video: Video C, Timestamp: 2024-12-02 10:16:17, LamaTayang: 0.1 s
8. Video: Video D, Timestamp: 2024-12-02 10:16:21, LamaTayang: 2.5 s
9. Video: Video A, Timestamp: 2024-12-02 10:16:23, LamaTayang: 1.3 s
10. Video: Video C, Timestamp: 2024-12-02 10:16:24, LamaTayang: 1.1 s
11. Video: Video A, Timestamp: 2024-12-02 10:16:24, LamaTayang: 0.6 s
12. Video: Video C, Timestamp: 2024-12-02 10:16:25, LamaTayang: 0.2 s
13. Video: Video A, Timestamp: 2024-12-02 10:16:29, LamaTayang: 2.8 s
14. Video: Video D, Timestamp: 2024-12-02 10:16:27, LamaTayang: 0.3 s
15. Video: Video A, Timestamp: 2024-12-02 10:16:29, LamaTayang: 0.0 s
16. Video: Video A, Timestamp: 2024-12-02 10:16:31, LamaTayang: 0.6 s
17. Video: Video B, Timestamp: 2024-12-02 10:16:48, LamaTayang: 12.1 s
18. Video: Video A, Timestamp: 2024-12-02 10:16:49, LamaTayang: 13.8 s
19. Video: Video C, Timestamp: 2024-12-02 10:16:48, LamaTayang: 13.2 s
20. Video: Video A, Timestamp: 2024-12-02 10:16:48, LamaTayang: 4.6 s
21. Video: Video A, Timestamp: 2024-12-02 10:16:51, LamaTayang: 0.6 s
22. Video: Video D, Timestamp: 2024-12-02 10:16:51, LamaTayang: 0.1 s
23. Video: Video A, Timestamp: 2024-12-02 10:16:52, LamaTayang: 0.3 s
24. Video: Video D, Timestamp: 2024-12-02 10:16:57, LamaTayang: 2.4 s
25. Video: Video A, Timestamp: 2024-12-02 10:16:54, LamaTayang: 0.2 s
26. Video: Video A, Timestamp: 2024-12-02 10:17:03, LamaTayang: 4.8 s
27. Video: Video C, Timestamp: 2024-12-02 10:17:00, LamaTayang: 2.6 s
28. Video: Video B, Timestamp: 2024-12-02 10:17:00, LamaTayang: 1.2 s
29. Video: Video A, Timestamp: 2024-12-02 10:17:00, LamaTayang: 0.9 s
30. Video: Video A, Timestamp: 2024-12-02 10:17:03, LamaTayang: 1.7 s
31. Video: Video A, Timestamp: 2024-12-02 10:17:07, LamaTayang: 1.1 s
32. Video: Video D, Timestamp: 2024-12-02 10:17:13, LamaTayang: 3.5 s
33. Video: Video B, Timestamp: 2024-12-02 10:18:57, LamaTayang: 4.3 s
34. Video: Video B, Timestamp: 2024-12-02 10:18:53, LamaTayang: 0.1 s
35. Video: Video C, Timestamp: 2024-12-02 10:19:03, LamaTayang: 3.9 s
36. Video: Video A, Timestamp: 2024-12-02 10:18:59, LamaTayang: 0.7 s
37. Video: Video A, Timestamp: 2024-12-02 10:19:04, LamaTayang: 1.5 s
38. Video: Video D, Timestamp: 2024-12-02 10:19:05, LamaTayang: 1.2 s
39. Video: Video C, Timestamp: 2024-12-02 10:19:06, LamaTayang: 0.6 s
40. Video: Video B, Timestamp: 2024-12-02 10:19:08, LamaTayang: 1.3 s
41. Video: Video A, Timestamp: 2024-12-02 10:19:28, LamaTayang: 0.8 s
42. Video: Video C, Timestamp: 2024-12-02 10:19:28, LamaTayang: 0.1 s
43. Video: Video C, Timestamp: 2024-12-02 10:19:39, LamaTayang: 0.6 s
44. Video: bus, Timestamp: 2024-12-02 10:20:12, LamaTayang: 2.9 s
45. Video: Video B, Timestamp: 2024-12-02 10:20:56, LamaTayang: 2.7 s
46. Video: Video A, Timestamp: 2024-12-02 10:20:57, LamaTayang: 0.5 s
47. Video: Video C, Timestamp: 2024-12-02 10:21:01, LamaTayang: 2.9 s
48. Video: Video A, Timestamp: 2024-12-02 10:21:05, LamaTayang: 3.5 s
49. Video: Video D, Timestamp: 2024-12-02 10:21:16, LamaTayang: 7.7 s
50. Video: Video D, Timestamp: 2024-12-02 10:22:21, LamaTayang: 0.5 s
51. Video: Video A, Timestamp: 2024-12-02 10:22:30, LamaTayang: 4.8 s
52. Video: Video B, Timestamp: 2024-12-02 10:22:31, LamaTayang: 0.2 s
53. Video: Video C, Timestamp: 2024-12-02 10:22:34, LamaTayang: 2.3 s
54. Video: Video B, Timestamp: 2024-12-02 10:22:36, LamaTayang: 1.4 s
55. Video: bicycle, Timestamp: 2024-12-02 10:22:37, LamaTayang: 0.7 s
56. Video: Video A, Timestamp: 2024-12-02 10:22:40, LamaTayang: 2.0 s
57. Video: Video C, Timestamp: 2024-12-02 10:22:39, LamaTayang: 0.5 s
58. Video: Video A, Timestamp: 2024-12-02 10:22:41, LamaTayang: 0.7 s
